x,temp
0.000,0.0000
0.010,0.0001
0.020,0.0003
0.030,0.0007
0.040,0.0015
0.050,0.0029
0.060,0.0053
0.070,0.0092
0.080,0.0153
0.090,0.0245
0.100,0.0373
0.110,0.0543
0.120,0.0758
0.130,0.1015
0.140,0.1305
0.150,0.1619
0.160,0.1945
0.170,0.2269
0.180,0.2578
0.190,0.2858
0.200,0.3098
0.210,0.3290
0.220,0.3431
0.230,0.3521
0.240,0.3564
0.250,0.3565
0.260,0.3532
0.270,0.3473
0.280,0.3399
0.290,0.3320
0.300,0.3247
0.310,0.3191
0.320,0.3160
0.330,0.3161
0.340,0.3199
0.350,0.3278
0.360,0.3401
0.370,0.3567
0.380,0.3774
0.390,0.4017
0.400,0.4289
0.410,0.4582
0.420,0.4887
0.430,0.5192
0.440,0.5487
0.450,0.5760
0.460,0.6001
0.470,0.6200
0.480,0.6348
0.490,0.6438
0.500,0.6468
