x,temp
0.000,0.0000
0.025,0.0002
0.050,0.0009
0.075,0.0032
0.100,0.0100
0.125,0.0271
0.150,0.0657
0.175,0.1353
0.200,0.2494
0.225,0.4111
0.250,0.6065
0.275,0.8007
0.300,0.9459
0.325,1.0000
0.350,0.9459
0.375,0.8007
0.400,0.6065
0.425,0.4111
0.450,0.2494
0.475,0.1353
0.500,0.0657
0.525,0.0286
0.550,0.0111
0.575,0.0039
0.600,0.0012
0.625,0.0004
0.650,0.0001
0.675,0.0000
0.700,0.0000
0.725,0.0000
0.750,0.0000
0.775,0.0000
0.800,0.0000
0.825,0.0000
0.850,0.0000
0.875,0.0000
0.900,0.0000
0.925,0.0000
0.950,0.0000
0.975,0.0000
1.000,0.0000
